Index,firm,BE,ME,ME.lag1,r_i,r.3.0,r.12.4,AC,CA,DR,OFC,ECI,industry
2020.75,1,1179763000.0,1217182027.9,1200621728.3,0.08947140283049224,-0.013698844358161634,-0.6181014810175334,0.5,0.6944444444444444,0.75,0.43333333333333335,0.8055555555555556,Outros
2020.5,1,1262906000.0,1064582244.0,1217182027.9,-0.013698844358161634,0.14218500238658782,-0.47139155447653336,0.5,0.6111111111111112,0.75,0.4,0.8333333333333334,Outros
2022.0,1,1205650000.0,1354614676.8,1761918221.8,0.1815419165027509,0.25936276146373427,0.039740328649514406,0.5277777777777778,0.7222222222222222,0.75,0.6666666666666666,0.8333333333333334,Outros
2021.25,1,1190537000.0,1312839790.5,1064523051.0,0.2674793651342613,-0.20972053098206886,0.21795756085891843,0.5,0.6944444444444444,0.75,0.43333333333333335,0.8055555555555556,Outros
2023.0,1,1072554000.0,2471659989.1,2544702372.0,0.042154439754033775,0.029123711721968218,0.33752140453661456,0.5277777777777778,0.8888888888888888,0.9583333333333334,0.7666666666666667,0.7222222222222222,Outros
2022.25,1,1175292000.0,1761918221.8,2112654113.6,0.08333703970073238,0.1815419165027509,0.5088236210953175,0.5277777777777778,0.7222222222222222,0.75,0.6666666666666666,0.8333333333333334,Outros
2021.75,1,1212178000.0,1390976786.6,1354614676.8,0.25936276146373427,-0.01801850550267803,0.14723023698268467,0.5277777777777778,0.7222222222222222,0.75,0.6666666666666666,0.8333333333333334,Outros
2022.75,1,1145368000.0,2298232756.3,2471659989.1,0.029123711721968218,0.07264244833313128,0.5242417176672175,0.5277777777777778,0.8888888888888888,0.9583333333333334,0.7666666666666667,0.7222222222222222,Outros
2020.25,1,1282190000.0,2148090394.6,1064582244.0,0.14218500238658782,-0.701996795823603,0.2293537947442608,0.5,0.6111111111111112,0.75,0.4,0.8333333333333334,Outros
2022.5,1,1159398000.0,2112654113.6,2298232756.3,0.07264244833313128,0.08333703970073238,0.4228861724638071,0.5277777777777778,0.7222222222222222,0.75,0.6666666666666666,0.8333333333333334,Outros
2021.0,1,1176682000.0,1200621728.3,1312839790.5,-0.20972053098206886,0.08947140283049224,-0.5735106377951767,0.5,0.6944444444444444,0.75,0.43333333333333335,0.8055555555555556,Outros
2019.75,1,1272385000.0,1705725072.8,2277060170.0,-0.05828968758051821,0.28889492892758784,0.21639758540691403,0.5,0.6111111111111112,0.75,0.4,0.8333333333333334,Outros
2020.0,1,1287907000.0,2277060170.0,2148090394.6,-0.701996795823603,-0.05828968758051821,0.37465485926996894,0.5,0.6111111111111112,0.75,0.4,0.8333333333333334,Outros
2023.25,1,949696000.0,2544702372.0,2657779590.0,0.054837826233276064,0.042154439754033775,0.1851031997558319,0.5277777777777778,0.8888888888888888,0.9583333333333334,0.7666666666666667,0.7222222222222222,Outros
2023.75,1,865378000.0,2810304047.6,1153641619.5,0.062489340092635653,-0.890369114622738,0.12611597770927807,0.5555555555555556,0.8333333333333334,0.9583333333333334,0.8333333333333334,0.7222222222222222,Outros
2021.5,1,1201016000.0,1064523051.0,1390976786.6,-0.01801850550267803,0.2674793651342613,-0.13394797250973825,0.5,0.6944444444444444,0.75,0.43333333333333335,0.8055555555555556,Outros
2023.5,1,906947000.0,2657779590.0,2810304047.6,-0.890369114622738,0.054837826233276064,0.14392059980913327,0.5277777777777778,0.8888888888888888,0.9583333333333334,0.7666666666666667,0.7222222222222222,Outros
2020.5,2,4046680000.0,2826673826.5,3005224766.7,-0.16825502114032262,0.061512800192654225,-0.3187749060685249,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
2020.25,2,4040733000.0,4216503894.6,2826673826.5,0.061512800192654225,-0.3973253225104089,0.0874347183970516,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
2022.5,2,4774273000.0,3798258407.6,3421370668.3,0.3205612134645532,-0.08618951873642557,0.12681496574191273,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
2021.75,2,4459170000.0,3496112755.9,3277346192.5,0.07907070920248999,-0.05048369877437906,0.3436444756575683,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
2022.75,2,4910571000.0,3421370668.3,4615468554.4,-0.044708525806480034,0.3205612134645532,0.09110914577986622,0.4444444444444444,0.9166666666666666,0.9583333333333334,0.8666666666666667,0.8611111111111112,Finanças e Seguros
2023.0,2,5070725000.0,4615468554.4,4255833590.9,-0.13538647429117795,-0.044708525806480034,0.33259965004192943,0.4444444444444444,0.9166666666666666,0.9583333333333334,0.8666666666666667,0.8611111111111112,Finanças e Seguros
2020.0,2,3956287000.0,3851856035.2,4216503894.6,-0.3973253225104089,0.12038671944182738,0.1268383386082083,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
2023.25,2,5205386000.0,4255833590.9,3727089753.7,0.12495341145161294,-0.13538647429117795,0.18966316892164758,0.4444444444444444,0.9166666666666666,0.9583333333333334,0.8666666666666667,0.8611111111111112,Finanças e Seguros
2022.25,2,4669463000.0,3437405617.7,3798258407.6,-0.08618951873642557,0.0982279553138018,0.13429743337201686,0.5277777777777778,0.8611111111111112,0.9583333333333334,0.8666666666666667,0.8333333333333334,Finanças e Seguros
